iso,beta1_waid,beta2_waid,var11,var12,var22
BHS,-0.014905897217929245,-4.3372842312815185e-4,2.302280995632647e-7,-6.610293343734008e-8,2.615872264274928e-8
BIH,-0.018915014459166133,0,3.364408486248948e-7,0,0
BLR,-0.0026686636703176225,-0.0014489127588133543,1.0897017348123663e-6,-3.036540938063569e-7,1.2240553583512943e-7
BLZ,-0.022172680701622427,-0.0014117455807259177,1.7445293314783688e-6,-7.101371838948353e-7,3.8158526418183584e-7
BMU,-0.013156225383866668,-6.446598545462347e-4,2.2042668311745918e-7,-5.341443923635947e-8,1.6939058237222028e-8
BOL,-0.023701400554225177,-9.731266240425307e-4,7.5954191079412e-7,-2.21332946818491e-7,1.0473115343469792e-7
BRA,-0.027423265806506815,0,4.0675226668101695e-7,0,0
BRB,-0.017509324997543946,0,6.833372522111858e-8,0,0
BRN,-0.015257837096760013,-0.0010030919844605662,9.22803265154715e-7,-3.88368153058038e-7,2.176854427917292e-7
BTN,-0.010603116491757492,-0.001937954490823502,8.652315252369297e-7,-2.9365492549163403e-7,1.5001159214285966e-7
BWA,-0.03302505187456362,0,7.107400982491919e-7,0,0
CAF,-0.021938586064370547,-9.7080971933073e-4,1.972301911613069e-6,-5.301281377048338e-7,2.2188099917733728e-7
CAN,5.704438981280549e-4,-0.0012149982855992007,7.837613744065291e-7,-3.0234807273200873e-7,1.5435597800651695e-7
CHE,-0.013025186318934363,0,4.265620704299355e-7,0,0
CHL,-0.012244146043155536,0,9.34362798476222e-8,0,0
CHN,-0.018243414264217536,-5.584792182379006e-4,6.580163174460451e-7,-1.839481546254959e-7,7.774281816423014e-8
CIV,-0.02181987606837961,-8.636802432795063e-4,9.184998856352041e-7,-2.305897982081082e-7,8.164147909145274e-8
CMR,-0.021033609668964573,-7.020401026102407e-4,1.1226180279265716e-6,-2.4873041538671173e-7,8.612736307584272e-8
COD,-0.021166968713615744,-0.0010720150669955505,1.862201615833554e-6,-4.4665536277729356e-7,1.947815514857099e-7
COG,-0.019650464246025207,-0.0015203652777223547,1.4341692770985603e-6,-2.7315994350346606e-7,1.0102805651446838e-7
COL,-0.017819050201973802,-0.002001507624393356,6.634393923810618e-7,-1.4426235357914457e-7,4.301583684829012e-8
COM,-0.015275857005932912,0,8.883914719081938e-8,0,0
CPV,-0.015295861866739133,4.3916308667150267e-4,1.8696541131393642e-7,-6.189858887489347e-8,3.787336537743355e-8
